Category Name,Category Bid No,Doc ID
"SET OF CUTTING TIPS,HOSE,NARROW V-BELT",—,9685756
Sterile Single-Use Insulin Syringes for Human Use Conforming to IS 12227,—,9608462
CHOLECALCIFEROL 60K SOFT GELATIN CAPSULE,—,9722265
DICLOFENAC SODIUM 75MG/1ML INJECTION,—,9722146
"GRINDING WHEEL BLUE,EXTERANL GRINDING WHEEL 400 X 25,GRINDING WHEEL TYPE 1, 400 X 50 X 127MM",—,9727917
"HiPrfm Endmill AL Carb-DIA 2.5-2FL,HiPrfm Endmill AL Carb- DIA3-3FL,HiPrfm Endmill AL Carb-DIA4-3FL",—,9749939
THICKNESS MEASURING GAUGE,—,9750081
"HP CLT -C506L/SEE High- Yield Cyan Original Toner Cartridge,HP CLT -M506L/SEE High- Yield Magenta O",—,9741056
"APD 1.5 Percent Fluid 05 Ltr Bag,APD 2.5 Percent Fluid,APD Cassette,Tourniquet,Chewable calcium pho",—,9706325
LED Luminaire For Floodlight Conforming To IS 10322 (Part 5/Section 5) (V3) (Under BIS Scheme - II),—,9750649
Qualitative PCR Machine (Thermal Cycler),—,9750517
Toner Cartridges / Ink Cartridges / Consumables for Printers,—,9744469
Host Sling for Container,—,9751115
"Roof Light LH RH For AMB,Roof Marker Light Outer For AMB,Wiper Arm For AMB,Wiper Blade For AMB,Door",—,9751074
500 mA X - Ray Machine (V2),—,9508446
"Procurement of equalizing valve, RSV and its spare for dry ash line",—,9613018
Set of Small Ball Screw and Nut Assembly,—,9630956
"SEPRATOR CARTRIDGE (TYPE-M),COALESCER CARTRIDGE (TYPE-M)",—,9699654
DISPLAY 15 INCH TFT TOUCH SCREEN,—,9704871
"Pressure Relief Valve,Rupture Disc,Lead Gasket,Lead Gasket,Lead Gasket,Lead Gasket,Lead Gasket,Lead",—,9625848
"Oil Separator Part No. 1622035101,Pump Oil Seal,Thermostat Part No. 1614611800R2C1,Oil Separator Pa",—,9582414
"Power Module of FC BC,Power Supply Card for 48 line Matrix,SLT Card for 48 Line Matrix,CO8 Card for",—,9754762
PURCHASE OF FILTRATION PLANTS (SWIMMING POOL),—,9754758
"Leg  Press - Outdoor Gym Equipments,Parallel Bar - Outdoor Gym Equipment,Twister - Outdoor Gym Equi",—,9754747
Nutrient Dense Sport Horse Feed,—,9751592
"Bone Saw Cutting Machine 3 HP,Heavy Duty High Protein Feed Mincer Machine",—,9751396
RO Plant with Genset and Trolley,—,9754710
"Pow live yeast culture with cell metabolites pkt of 1 kg,Povidone Iodine solution 5 percent bott of",—,9754786
"Lighting Pole or Post and Hardware - Tubular Street Light Poles (V2),LED Luminaire For Road And Str",—,9754554
"Switch Gauge,Engine Mounting Pad,Field Coil,Bush carrier Plate,Convey Light,Water Reserve Tank",—,9754838
Dough Kneader (V1),—,9723694
"WZT3 DBD S10 K13 200,WZT3 170 106 019SB,WZT3 PN 81 M 86960,WZT3 PN 90 M 73092 10282015,WZT3 PN 90 M",—,9754832
PROCUREMENT OF PORTBLE DISPENSING STATION,—,9754864
"Ignition Coil Assy,TCI Unit,Spark Plug,Chock Plug,Chock Cable,Fuel Pipe,Fuel Pipe,Fuel Pipe Thin,Fu",—,9754859
"Volt Meter,Amp Meter,Oil Filter Element,Fuel Filter Element,Fuel Pipe Filter to Tank,Fuel Pipe to P",—,9754853
"FABRICATION, SUPPLY AND INSTALLATION OF PREMIUM QUALITY DECORATIVE WATER GLASS CURTAIN",—,9754852
CHEMICAL CLEANING OF SWIMMING POOL,—,9754873
"Air Walker / Stroller - Outdoor Gym Equipment,Twister - Outdoor Gym Equipment,Leg  Press - Outdoor",—,9754869
"Land of the Seven Rivers,Leaders Eat Last,The Sea Hawk,Atomic Habits,Small Unit Leadership,The Hund",—,9754870
LAPTOP WITH MC OS,—,9754867
Y3/NK/WIRE 1MM,—,9754891
"Sit Up Board - Outdoor Gym Equipment,Surf Board - Outdoor Gym Equipment,Leg  Press - Outdoor Gym Eq",—,9754888
INSTALLATION OF HEAVY DUTY BAMBOO STAGING FOR ROOFING WORK OF BASKETBALL COURT SHED HAVING APPROXIM,—,9754885
SERVO BRAKE FLUID SUPER HD AS PER SAE J 1703 Specification,—,9754834
"High End Desktop PC,High Speed OCR Based Scanner,NAS Device",—,9730736
HIRING OF SERVICES FOR ANTI-TERMITE TREATMENT OF BADMINTON COURT,—,9754899
REFURBISHMENT OF SPORTS STORE,—,9754893
Oil Protomac H68,—,9754862
Castrol Opt Gear Synthetic X 150 Gear Oil,—,9754850
Grease Moly Coat BR2 Plus,—,9754855
High Mast Lighting Tower for large area with LED Flood Lighting System,—,9754911
"PUMP, COMPLETE UNIT, WH-1125 / 12, SWELLORE,COMPLETE BARE PUMP W/O MOTOR WDD-1125/10",—,9754950
"Apple RedGoldenDelicious,Apple Red ChiefHimachaliKharu Kashmiri,Banana,Mussambies,Papaya,Pears",—,9754938
SS 304 6000 PSI NON RETERNING VALVE,—,9753091
"ASSY FUEL FILTER,ASSY OIL FILTER,TIMING OIL FILTER,AC BELT,ALTERNATOR BELT,FIELD COIL ASSY,MOUNTING",—,9754984
Computer Printer (V2),—,9754978
"4"" WALL CLOCK",—,9754955
"Powder Calamine,Powder Boric Acid,Inj Methylprednisolone SodiumSuccinate 1 gm,Inj Placentrex 2 ml,I",—,9755001
"Clutch Disc Assy,Rubber Hose,Rubber Vaccum Hose NRV to T Connector,Intermediate Brake Hose,Hose coo",—,9754999
"BLADDER ASSEMBLY, API PLAN-53B, 25L, P/N-02",—,9754983
FO Cable Drum (500 Mtr),—,9754960
EGG PRINTING CARTRIDGE,—,9754797
"Bicarb Powder for Heamo dialysis,Acid citric AR,Hydrogen peroxide 20percentage,Acid concentrate - p",—,9746347
"OLOPTADINE HYDROCHLORIDE 0 POINT 1 PERCENT OPHTHALMIC SOLUTION BOTTLE OF 5 ML,EYE DROP BIMATOPROST",—,9704379
"DOXORUBICIN HCL INJ 2MG PER ML 25ML INJ,IRINOTECAN 100MG INJ,TAB EVEROLIMUS 10MG,INJ LEUPROLIDE 3 P",—,9705279
PVC Insulated Copper Cord Single Core and Multi Core Circular Sheathed with Flexible Conductor (V2),—,9749153
Pneumatic impact wrenches,—,9746352
Tea CTC (V2) (Defence),—,9714226
"Title1,Title2,Title3,Title4,Title5,Title6,Title7,Title8,Title9,Title10",—,9731125
"Title1,Title2,Title3,Title4,Title5,Title6,Title7,Title8,Title9,Title10,Title11,Title12",—,9731109
"Title1,Title2,Title3,Title4,Title5",—,9731049
"TARGET FRAME 1X1 FEET,TARGET FRAME FIGURE NO 11",—,9753672
Thread sealant,—,9753243
REPAIR OF SILVER STRIP CORROSION TEST BATH,—,9754104
HRU (EPIRB) PART NO 9490,—,9744023
"TYNZER HERBICIDE,24 D HERBICIDE,SAMPRA HerbiCIDE,Lamda,Chlorpyrifos",—,9753496
"Item 1: MTR, SC, 415VAC, 71, 1500RPM, 0.37KW,Item 2: MTR, SC, 415V, + /-10% , 90S, 1500RPM, 1.1KW,I",—,9748343
"Flex Banner,Pamphelts,Press Release,Presentation of Souvenirs,Student oblique Participant Prize",—,9697380
"AIR FILTER FOR DG SET,ELEMENT LUB OIL FILTER,KIT SUPER BYP FILTER ELEM,KIT FUEL FILTER AND RING",—,9754279
"COOLANT SUITABLE FOR NAFFCO ARFF,SCANIA ENGINE OIL LDF-4",—,9754213
"Iron Shed Size 10x10,Iron Shed Size 12x7,Garden Light,Aluminium Service Wire 6mm two core,Green Col",—,9754271
"4575-110-501-08_BAT 11 MAH NIMH,4960-005-055-78_GIL RF FXD RF 3300UH 10 PERCENTAGE 40MA,4947-680-90",—,9754521
MS Win 11 OS (25 H2) 10 x User Package key support lifetime Per CD,—,9754503
ASSY CANVAS COVER FOR LPTA715TC/32 PT. NO. 261470000150 DRG. NO. 2614.7000. 0150,—,9754009
"NK_SMD IC 14053,NK_SMD IC LM 224,NK_SMD IC 9DF030,NK_IRF 460,NK_IC 4C2525,NK_FET U 1660,NK_PROTECTI",—,9754588
Power Control Center (PCC) Panel for Power Distribution,—,9747551
Submersible Pumpsets (Three Phase) Conforming To IS 8034 (V2),—,9742689
thermal imager,—,9751623
"Engineering Spares 1,Engineering Spares 2,Engineering Spares 3,Engineering Spares 4,Engineering Spa",—,9751863
"AMUL CHEESE SPREAD,AMUL CHEESE SLICE,CHEESE CUBE",—,9750265
rescue air bag,—,9231113
Digital Multimeter,—,9750781
Renuwal of UTM Fortinet 60F License for 3 Years,—,9750551
"Sulphamethoxazole 400 mg and Trimethoprim 80 mg Tab,Zidovudine 300 mg plus Lamivudine 150 mg Tab,4",—,9736357
SOLAR HIGH MAST LIGHTS,—,9704145
"Compostable Bio-Medical Waste Collection Bags (Biohazard Bags) (V3),Foot Operated Pedal Bin or Buck",—,9674147
"LIPO BATTERY CHARGER,RASPBERRY Pi 5 8GB,FRAME 10 INCH,STACK H7,GPS M10,BLDC 3115 900KV,PROPELLER 7",—,9748965
STAIR,—,9635994
SUBMERSIBLE DEWATERING PUMP,—,9476012
"Entry and Mid Level Laptop - Notebook,Scanner (V3),Multimedia Projector (MMP),Projector Screen (V2)",—,9671029
"High End Desktop Computer,Scanner (V3)",—,9687397
Network Attached Storage (V2),—,9689227
OCR based Legacy Records Digitization,—,9630018
HRC (High Rupturing Capacity) Fuse Conforming to IS/IEC 60269 (Part 2),—,9763022
MULTI PURPOSE FOAM BASED FIRE FIGHTING TRUCK,—,9657324
Signage Board (V4),—,9759802
"AIR DRYER ASSY, PN: VJIB0517, VIDEOJET",—,9667502
network attached storage,—,9677372
55 INCH LED DISPLAY PANEL FOR TRAINING,—,9609471
AutomationTestCategory_DoNotUse,—,9731482
"Wind Shield Washer Fluid,Premium Diesel Ow-20 TGMO,Element AIr Cleaner,Element Air Refiner,Gasket,O",—,9721697
Surgical Sutures,—,9704548
"G0001006SL19232000,G00010050023222000,G00010030003221700,G00010030003051700,G00010030006210500,G000",—,9654653
Laser Range Finder,—,9654594
"MDN 250 INGOTS,TITAN 31 INGOTS,MDN 11-10 PH INGOTS",—,9607095
"Camera for CCTV System (V3),Video Recorder for CCTV System (V2)",—,9531158
"A4 and Legal Size Multifunction Printer (MFP),Scanner (V3)",—,9677488
Plywood for General Purposes Marked to IS 303 (V3),—,9776141
"Tubes for Pneumatic Tyres ISI Marked to IS 13098,Pneumatic Tyres for Commercial Vehicles - Diagonal",—,9775330
"PAPAD MUNG,PAPAD URAD,PICKLE MANGO,PICKLE MIX,COPRA",—,9695293
"FILTER ELEMENT SP IN FLOW Part No 5241840501,FLTR ASM FUEL SEC SPIN ON HI EFFICIENCY Part No 235306",—,9704793
Waste Container (V3),—,9678513
A4 and Legal Size Multifunction Printer (MFP),—,9717826
Vacuum Pump,—,9666765
Desiccant Dehumidifier,—,9637795
MASS ALERT SYSTEM WITH PA SYSTEM,—,9605956
Floor Mounted Tower Air Conditioner,—,9598726
